rider_id,nombre,email,plan,alta,ciudad,interes_1,interes_2
R0000,Rider_0000,rider0000@nexo.example,pro,2026-03-25,Buenos Aires,futbol,cafe
R0001,Rider_0001,rider0001@nexo.example,pro,2025-12-28,Buenos Aires,gastronomia,gastronomia
R0002,Rider_0002,rider0002@nexo.example,plus,2026-02-10,Buenos Aires,musica,musica
R0003,Rider_0003,rider0003@nexo.example,free,2026-01-13,Buenos Aires,diseno,futbol
R0004,Rider_0004,rider0004@nexo.example,free,2025-02-11,Buenos Aires,musica,fotografia
R0005,Rider_0005,rider0005@nexo.example,plus,2025-07-12,Buenos Aires,cafe,ciclovia
R0006,Rider_0006,rider0006@nexo.example,pro,2025-10-09,Buenos Aires,clima,futbol
R0007,Rider_0007,rider0007@nexo.example,free,2025-04-09,Buenos Aires,fotografia,clima
R0008,Rider_0008,rider0008@nexo.example,free,2025-05-24,Buenos Aires,musica,fotografia
R0009,Rider_0009,rider0009@nexo.example,plus,2025-04-15,Buenos Aires,tecnologia,cafe
R0010,Rider_0010,rider0010@nexo.example,pro,2026-02-14,Buenos Aires,clima,running
R0011,Rider_0011,rider0011@nexo.example,free,2025-05-24,Buenos Aires,musica,ciclovia
R0012,Rider_0012,rider0012@nexo.example,free,2025-11-21,Buenos Aires,tecnologia,gastronomia
R0013,Rider_0013,rider0013@nexo.example,plus,2025-12-02,Buenos Aires,gastronomia,ciclovia
R0014,Rider_0014,rider0014@nexo.example,plus,2025-05-03,Buenos Aires,fotografia,futbol
R0015,Rider_0015,rider0015@nexo.example,pro,2025-04-11,Buenos Aires,diseno,gastronomia
R0016,Rider_0016,rider0016@nexo.example,pro,2025-06-11,Buenos Aires,clima,ciclovia
R0017,Rider_0017,rider0017@nexo.example,free,2025-05-28,Buenos Aires,clima,clima
R0018,Rider_0018,rider0018@nexo.example,plus,2025-07-25,Buenos Aires,ciclovia,running
R0019,Rider_0019,rider0019@nexo.example,pro,2025-02-03,Buenos Aires,running,musica
R0020,Rider_0020,rider0020@nexo.example,pro,2025-03-03,Buenos Aires,musica,clima
R0021,Rider_0021,rider0021@nexo.example,free,2025-07-09,Buenos Aires,ciclovia,futbol
R0022,Rider_0022,rider0022@nexo.example,pro,2025-04-14,Buenos Aires,clima,diseno
R0023,Rider_0023,rider0023@nexo.example,pro,2025-11-17,Buenos Aires,diseno,running
R0024,Rider_0024,rider0024@nexo.example,free,2025-08-23,Buenos Aires,diseno,diseno
R0025,Rider_0025,rider0025@nexo.example,plus,2025-06-03,Buenos Aires,fotografia,fotografia
R0026,Rider_0026,rider0026@nexo.example,free,2026-03-28,Buenos Aires,tecnologia,running
R0027,Rider_0027,rider0027@nexo.example,plus,2026-05-14,Buenos Aires,fotografia,ciclovia
R0028,Rider_0028,rider0028@nexo.example,free,2025-01-26,Buenos Aires,gastronomia,clima
R0029,Rider_0029,rider0029@nexo.example,pro,2026-03-26,Buenos Aires,futbol,futbol
R0030,Rider_0030,rider0030@nexo.example,pro,2025-01-27,Buenos Aires,fotografia,diseno
R0031,Rider_0031,rider0031@nexo.example,pro,2025-04-15,Buenos Aires,ciclovia,futbol
R0032,Rider_0032,rider0032@nexo.example,pro,2026-04-18,Buenos Aires,ciclovia,ciclovia
R0033,Rider_0033,rider0033@nexo.example,plus,2026-04-20,Buenos Aires,futbol,fotografia
R0034,Rider_0034,rider0034@nexo.example,pro,2026-05-04,Buenos Aires,musica,futbol
R0035,Rider_0035,rider0035@nexo.example,pro,2026-02-17,Buenos Aires,ciclovia,ciclovia
R0036,Rider_0036,rider0036@nexo.example,pro,2026-03-22,Buenos Aires,fotografia,gastronomia
R0037,Rider_0037,rider0037@nexo.example,pro,2025-03-04,Buenos Aires,cafe,gastronomia
R0038,Rider_0038,rider0038@nexo.example,plus,2025-06-23,Buenos Aires,diseno,cafe
R0039,Rider_0039,rider0039@nexo.example,free,2025-08-29,Buenos Aires,tecnologia,cafe
R0040,Rider_0040,rider0040@nexo.example,plus,2025-01-04,Buenos Aires,running,clima
R0041,Rider_0041,rider0041@nexo.example,free,2025-11-26,Buenos Aires,diseno,cafe
R0042,Rider_0042,rider0042@nexo.example,free,2026-01-11,Buenos Aires,running,musica
R0043,Rider_0043,rider0043@nexo.example,free,2026-01-09,Buenos Aires,gastronomia,running
R0044,Rider_0044,rider0044@nexo.example,plus,2025-03-12,Buenos Aires,ciclovia,running
R0045,Rider_0045,rider0045@nexo.example,pro,2026-04-28,Buenos Aires,diseno,running
R0046,Rider_0046,rider0046@nexo.example,free,2025-10-31,Buenos Aires,diseno,ciclovia
R0047,Rider_0047,rider0047@nexo.example,plus,2026-04-07,Buenos Aires,diseno,musica
R0048,Rider_0048,rider0048@nexo.example,pro,2025-12-04,Buenos Aires,futbol,musica
R0049,Rider_0049,rider0049@nexo.example,free,2025-02-26,Buenos Aires,ciclovia,futbol
R0050,Rider_0050,rider0050@nexo.example,pro,2025-10-20,Buenos Aires,gastronomia,gastronomia
R0051,Rider_0051,rider0051@nexo.example,free,2025-05-21,Buenos Aires,tecnologia,musica
R0052,Rider_0052,rider0052@nexo.example,pro,2025-01-31,Buenos Aires,cafe,fotografia
R0053,Rider_0053,rider0053@nexo.example,pro,2025-09-29,Buenos Aires,ciclovia,cafe
R0054,Rider_0054,rider0054@nexo.example,plus,2025-05-28,Buenos Aires,running,musica
R0055,Rider_0055,rider0055@nexo.example,pro,2026-02-28,Buenos Aires,tecnologia,diseno
R0056,Rider_0056,rider0056@nexo.example,plus,2025-03-19,Buenos Aires,clima,ciclovia
R0057,Rider_0057,rider0057@nexo.example,free,2025-06-06,Buenos Aires,tecnologia,running
R0058,Rider_0058,rider0058@nexo.example,plus,2025-05-05,Buenos Aires,running,tecnologia
R0059,Rider_0059,rider0059@nexo.example,free,2025-11-03,Buenos Aires,musica,futbol
R0060,Rider_0060,rider0060@nexo.example,plus,2025-09-07,Buenos Aires,running,fotografia
R0061,Rider_0061,rider0061@nexo.example,free,2026-01-23,Buenos Aires,running,clima
R0062,Rider_0062,rider0062@nexo.example,free,2025-04-25,Buenos Aires,fotografia,diseno
R0063,Rider_0063,rider0063@nexo.example,plus,2025-01-18,Buenos Aires,tecnologia,musica
R0064,Rider_0064,rider0064@nexo.example,plus,2025-10-31,Buenos Aires,gastronomia,clima
R0065,Rider_0065,rider0065@nexo.example,plus,2025-11-12,Buenos Aires,fotografia,ciclovia
R0066,Rider_0066,rider0066@nexo.example,plus,2025-12-10,Buenos Aires,fotografia,cafe
R0067,Rider_0067,rider0067@nexo.example,free,2025-12-05,Buenos Aires,ciclovia,clima
R0068,Rider_0068,rider0068@nexo.example,plus,2026-03-14,Buenos Aires,ciclovia,tecnologia
R0069,Rider_0069,rider0069@nexo.example,free,2025-07-01,Buenos Aires,ciclovia,running
R0070,Rider_0070,rider0070@nexo.example,free,2025-07-14,Buenos Aires,musica,futbol
R0071,Rider_0071,rider0071@nexo.example,plus,2026-03-04,Buenos Aires,cafe,musica
R0072,Rider_0072,rider0072@nexo.example,plus,2025-12-19,Buenos Aires,futbol,fotografia
R0073,Rider_0073,rider0073@nexo.example,plus,2026-05-13,Buenos Aires,running,gastronomia
R0074,Rider_0074,rider0074@nexo.example,plus,2026-03-14,Buenos Aires,tecnologia,musica
R0075,Rider_0075,rider0075@nexo.example,free,2025-09-22,Buenos Aires,futbol,fotografia
R0076,Rider_0076,rider0076@nexo.example,free,2025-08-04,Buenos Aires,diseno,ciclovia
R0077,Rider_0077,rider0077@nexo.example,free,2025-09-29,Buenos Aires,cafe,ciclovia
R0078,Rider_0078,rider0078@nexo.example,pro,2025-09-08,Buenos Aires,fotografia,futbol
R0079,Rider_0079,rider0079@nexo.example,pro,2025-07-10,Buenos Aires,gastronomia,fotografia
R0080,Rider_0080,rider0080@nexo.example,free,2025-07-06,Buenos Aires,futbol,running
R0081,Rider_0081,rider0081@nexo.example,free,2026-01-30,Buenos Aires,futbol,cafe
R0082,Rider_0082,rider0082@nexo.example,plus,2025-02-21,Buenos Aires,gastronomia,futbol
R0083,Rider_0083,rider0083@nexo.example,free,2025-10-05,Buenos Aires,ciclovia,futbol
R0084,Rider_0084,rider0084@nexo.example,plus,2026-02-22,Buenos Aires,clima,tecnologia
R0085,Rider_0085,rider0085@nexo.example,free,2026-01-26,Buenos Aires,cafe,diseno
R0086,Rider_0086,rider0086@nexo.example,free,2026-03-20,Buenos Aires,diseno,diseno
R0087,Rider_0087,rider0087@nexo.example,plus,2026-01-14,Buenos Aires,tecnologia,musica
R0088,Rider_0088,rider0088@nexo.example,pro,2025-01-28,Buenos Aires,clima,gastronomia
R0089,Rider_0089,rider0089@nexo.example,free,2025-01-07,Buenos Aires,musica,fotografia
